ID_IPEDS,STABBR,year,degree_bach,public,enroll_ftug,grant_federal_t
106458,AR,2010,1,1,1665,4200895.0
106467,AR,2010,1,1,1686,4479449.0
106485,AR,2010,1,1,691,2237351.0
106494,AR,2010,0,0,48,152937.0
106546,AR,2010,0,0,49,109351.0
106625,AR,2010,0,1,451,1949043.0
106704,AR,2010,1,1,1828,4105380.0
106713,AR,2010,1,0,151,365702.0
106795,AR,2010,0,1,182,662779.0
106810,AR,2010,1,0,55,183612.0
106829,AR,2010,0,1,72,342900.0
106883,AR,2010,0,1,235,1086422.0
106892,AR,2010,0,0,306,689258.0
106908,AR,2010,0,0,303,856526.0
106980,AR,2010,0,1,456,2063983.0
106999,AR,2010,0,1,271,1206228.0
107044,AR,2010,1,0,988,1152379.0
107071,AR,2010,1,1,799,2183013.0
107080,AR,2010,1,0,404,470856.0
107099,AR,2010,0,0,35,164976.0
107123,AR,2010,0,0,29,35654.0
107141,AR,2010,1,0,322,699852.0
107211,AR,2010,0,0,39,50673.0
107220,AR,2010,0,0,369,534854.0
107293,AR,2010,0,0,46,159404.0
107318,AR,2010,0,1,286,626592.0
107327,AR,2010,0,1,334,1375955.0
107442,AR,2010,0,0,51,274657.0
107460,AR,2010,0,1,471,1886967.0
107488,AR,2010,0,1,317,357328.0
107512,AR,2010,1,0,451,660770.0
107521,AR,2010,0,1,173,498410.0
107549,AR,2010,0,1,306,1195316.0
107558,AR,2010,1,0,204,526733.0
107585,AR,2010,0,1,536,1413079.0
107600,AR,2010,1,0,178,590497.0
107619,AR,2010,0,1,204,888801.0
107637,AR,2010,0,1,290,1144242.0
107655,AR,2010,0,0,52,136687.0
107664,AR,2010,0,1,996,3639537.0
107725,AR,2010,0,1,235,861474.0
107743,AR,2010,0,1,144,731260.0
107789,AR,2010,0,0,28,102967.0
107831,AR,2010,0,0,50,157975.0
107877,AR,2010,1,0,155,399313.0
107974,AR,2010,0,1,177,653042.0
107983,AR,2010,1,1,643,1990883.0
107992,AR,2010,0,1,192,829090.0
108065,AR,2010,0,0,16,77022.0
108092,AR,2010,1,1,1337,3794754.0
108232,CA,2010,1,0,1099,1735583.0
108348,CA,2010,0,0,96,476917.0
108649,CA,2010,0,0,117,451620.0
108667,CA,2010,0,1,218,544115.0
108807,CA,2010,0,1,945,1682660.0
108852,CA,2010,0,0,91,110125.0
108977,CA,2010,0,0,16,68900.0
109040,CA,2010,0,0,1856,4104425.0
109208,CA,2010,0,1,1432,3516241.0
109350,CA,2010,0,1,1022,2725276.0
109651,CA,2010,1,0,137,319713.0
109721,CA,2010,0,0,957,3753221.0
109730,CA,2010,0,0,121,523231.0
109785,CA,2010,1,0,1192,1714824.0
109819,CA,2010,0,1,1583,4174828.0
109907,CA,2010,0,1,267,880232.0
109934,CA,2010,0,0,159,600227.0
110060,CA,2010,1,0,32,61275.0
110097,CA,2010,1,0,874,1600476.0
110194,CA,2010,0,0,302,1472534.0
110219,CA,2010,0,0,636,1272527.0
110246,CA,2010,0,1,1223,3285166.0
110316,CA,2010,1,0,87,230169.0
110334,CA,2010,0,1,971,1571207.0
110361,CA,2010,1,0,804,1678358.0
110370,CA,2010,1,0,229,423723.0
110404,CA,2010,1,0,222,141550.0
110413,CA,2010,1,0,556,837120.0
110422,CA,2010,1,1,3459,2537510.0
110468,CA,2010,1,0,0,
110486,CA,2010,1,1,1013,3392438.0
110495,CA,2010,1,1,998,3126337.0
110510,CA,2010,1,1,1747,6075645.0
110529,CA,2010,1,1,1924,3807986.0
110538,CA,2010,1,1,1880,3808561.0
110547,CA,2010,1,1,982,3471670.0
110556,CA,2010,1,1,2583,7682530.0
110565,CA,2010,1,1,3749,7296080.0
110574,CA,2010,1,1,1192,2876769.0
110583,CA,2010,1,1,3913,9988826.0
110592,CA,2010,1,1,2013,7333923.0
110608,CA,2010,1,1,5066,15605846.0
110617,CA,2010,1,1,2625,6891894.0
110635,CA,2010,1,1,4081,6479934.0
110644,CA,2010,1,1,4437,9469856.0
110653,CA,2010,1,1,4405,9011844.0
110662,CA,2010,1,1,4626,8289201.0
110671,CA,2010,1,1,4458,14841258.0
110680,CA,2010,1,1,3944,10695517.0
110705,CA,2010,1,1,3696,7181832.0
110714,CA,2010,1,1,3280,7458643.0
110875,CA,2010,0,0,63,220518.0
110918,CA,2010,1,0,2,5750.0
111009,CA,2010,0,0,155,257323.0
111054,CA,2010,0,0,203,702977.0
111081,CA,2010,1,0,151,300472.0
111188,CA,2010,1,1,161,217926.0
111434,CA,2010,0,1,308,417176.0
111461,CA,2010,0,1,1100,1382004.0
111513,CA,2010,0,0,97,202983.0
111638,CA,2010,0,0,273,1023863.0
111708,CA,2010,0,0,185,630589.0
111717,CA,2010,0,0,512,1823625.0
111726,CA,2010,0,0,311,782598.0
111744,CA,2010,0,0,170,640385.0
111762,CA,2010,0,0,159,375902.0
111799,CA,2010,0,0,65,223850.0
111887,CA,2010,0,1,1350,3575445.0
111896,CA,2010,0,1,249,327874.0
111920,CA,2010,0,1,1064,2466204.0
111939,CA,2010,0,1,1212,3070116.0
111948,CA,2010,1,0,1174,1426047.0
111966,CA,2010,1,0,3,9750.0
112075,CA,2010,1,0,308,587449.0
112084,CA,2010,1,0,72,109080.0
112172,CA,2010,0,1,881,1967652.0
112190,CA,2010,0,1,1644,3390173.0
112260,CA,2010,1,0,314,217458.0
112288,CA,2010,0,0,417,1276712.0
112367,CA,2010,0,1,432,820907.0
112385,CA,2010,0,1,151,370061.0
112394,CA,2010,1,0,35,83250.0
112446,CA,2010,1,0,102,153394.0
112455,CA,2010,0,0,49,171166.0
112561,CA,2010,0,1,259,445050.0
112570,CA,2010,1,0,46,56000.0
112686,CA,2010,0,1,398,1004869.0
112826,CA,2010,0,1,377,858973.0
113096,CA,2010,0,1,820,1790113.0
113111,CA,2010,0,1,496,822553.0
113193,CA,2010,0,1,1199,1062021.0
113218,CA,2010,0,1,669,1283187.0
113236,CA,2010,0,1,1121,2066194.0
113333,CA,2010,0,1,2507,3035546.0
113449,CA,2010,0,0,235,926470.0
113537,CA,2010,1,0,2,0.0
113573,CA,2010,0,1,838,1779935.0
113582,CA,2010,1,0,8,25200.0
113634,CA,2010,0,1,1290,936040.0
113698,CA,2010,1,0,338,716397.0
113856,CA,2010,0,1,1583,4335682.0
113980,CA,2010,0,1,1885,2998509.0
114044,CA,2010,0,0,71,224450.0
114123,CA,2010,0,0,676,233485.0
114266,CA,2010,0,1,608,1437549.0
114354,CA,2010,1,0,825,1722713.0
114390,CA,2010,1,0,204,525093.0
114415,CA,2010,0,0,199,519933.0
114433,CA,2010,0,1,202,492418.0
114460,CA,2010,0,0,126,353380.0
114716,CA,2010,0,1,1181,817069.0
114761,CA,2010,0,0,57,229680.0
114789,CA,2010,0,1,2104,6398286.0
114813,CA,2010,1,0,231,669332.0
114859,CA,2010,0,1,1771,3175389.0
114938,CA,2010,0,1,490,1007593.0
114947,CA,2010,0,0,102,106992.0
115001,CA,2010,0,1,1803,4554208.0
115010,CA,2010,0,0,367,1010909.0
115083,CA,2010,1,0,0,
115126,CA,2010,0,1,1290,2287568.0
115296,CA,2010,0,1,1715,2460834.0
115357,CA,2010,0,0,39,160525.0
115393,CA,2010,0,1,669,1647471.0
115409,CA,2010,1,0,195,158048.0
115658,CA,2010,0,0,58,280500.0
115728,CA,2010,1,0,112,344162.0
115755,CA,2010,1,1,1282,2867651.0
115773,CA,2010,1,0,76,320999.0
115861,CA,2010,0,1,991,3481531.0
115931,CA,2010,0,0,435,1347465.0
116226,CA,2010,1,0,0,
116350,CA,2010,0,0,210,441805.0
116439,CA,2010,0,1,1087,1008681.0
116563,CA,2010,0,0,73,236799.0
116712,CA,2010,1,0,0,
116846,CA,2010,1,0,25,28625.0
117052,CA,2010,0,1,1860,4135772.0
117104,CA,2010,1,0,42,97254.0
117113,CA,2010,1,0,278,964205.0
117140,CA,2010,1,0,536,1405222.0
117168,CA,2010,1,0,57,107793.0
117195,CA,2010,0,1,228,263536.0
117238,CA,2010,0,0,56,254889.0
117247,CA,2010,0,1,330,749537.0
117274,CA,2010,0,1,193,462660.0
117557,CA,2010,1,0,24,55000.0
117575,CA,2010,1,0,5,16500.0
117627,CA,2010,1,0,330,854953.0
117636,CA,2010,1,0,0,
117645,CA,2010,0,1,1897,4319693.0
117672,CA,2010,1,0,0,
117690,CA,2010,0,1,658,1580560.0
117706,CA,2010,0,1,1182,2931212.0
117715,CA,2010,0,1,260,896981.0
117724,CA,2010,0,1,665,1694839.0
117733,CA,2010,0,1,996,2774743.0
117751,CA,2010,1,0,211,308416.0
117788,CA,2010,0,1,700,1692103.0
117803,CA,2010,0,1,0,
117867,CA,2010,0,1,677,1688053.0
117894,CA,2010,0,1,602,923797.0
117928,CA,2010,1,0,207,680739.0
117946,CA,2010,1,0,1378,1430617.0
117955,CA,2010,0,0,92,265233.0
118134,CA,2010,0,0,39,160471.0
118143,CA,2010,0,0,19,67887.0
118161,CA,2010,0,0,34,61408.0
118189,CA,2010,0,0,207,1148850.0
118198,CA,2010,0,0,376,1557022.0
118259,CA,2010,0,0,345,1236910.0
118277,CA,2010,0,0,458,1306357.0
118286,CA,2010,0,0,863,2784647.0
118347,CA,2010,0,1,306,497046.0
118541,CA,2010,1,0,384,804493.0
118684,CA,2010,0,1,179,548340.0
118693,CA,2010,1,0,153,274790.0
118718,CA,2010,0,1,1265,4142631.0
118772,CA,2010,0,1,211,523527.0
118888,CA,2010,1,0,205,490666.0
118912,CA,2010,0,1,1345,1180068.0
118930,CA,2010,0,1,444,821387.0
118958,CA,2010,0,0,52,276298.0
118967,CA,2010,0,0,633,1745156.0
118976,CA,2010,0,1,1398,3332499.0
118994,CA,2010,0,0,36,155999.0
119058,CA,2010,1,0,0,
119067,CA,2010,0,1,546,885947.0
119137,CA,2010,0,1,1710,1324752.0
119164,CA,2010,0,1,2683,5610987.0
119173,CA,2010,1,0,525,1824663.0
119216,CA,2010,0,1,865,1896063.0
119270,CA,2010,1,0,823,845658.0
119331,CA,2010,0,1,503,904361.0
119553,CA,2010,0,0,212,866818.0
119605,CA,2010,1,0,940,670497.0
119775,CA,2010,1,0,20,87130.0
119845,CA,2010,0,0,73,186906.0
119951,CA,2010,0,0,221,729906.0
120069,CA,2010,0,0,332,1142849.0
120078,CA,2010,0,0,598,2207777.0
120087,CA,2010,0,0,185,569011.0
120184,CA,2010,1,0,145,330171.0
120254,CA,2010,1,0,573,974788.0
120272,CA,2010,0,0,40,181741.0
120290,CA,2010,0,1,727,1010855.0
120342,CA,2010,0,1,2181,3017767.0
120403,CA,2010,1,0,167,371043.0
120421,CA,2010,0,1,469,1297046.0
120537,CA,2010,1,0,83,217181.0
120661,CA,2010,0,0,773,2289162.0
120698,CA,2010,1,0,0,
120768,CA,2010,1,0,0,
120838,CA,2010,1,0,1,0.0
120865,CA,2010,1,0,353,770795.0
120883,CA,2010,1,0,1009,2296811.0
120953,CA,2010,0,1,82,250329.0
120971,CA,2010,0,1,2151,2461840.0
121044,CA,2010,0,1,2042,4888221.0
121150,CA,2010,1,0,627,1162076.0
121257,CA,2010,1,0,274,266055.0
121275,CA,2010,1,0,69,193557.0
121309,CA,2010,1,0,589,1004390.0
121345,CA,2010,1,0,401,339730.0
121363,CA,2010,0,1,418,1555994.0
121433,CA,2010,0,0,127,580149.0
121619,CA,2010,0,1,1265,2475703.0
121637,CA,2010,0,0,50,157760.0
121691,CA,2010,1,0,646,1259485.0
121707,CA,2010,0,1,455,1430177.0
121859,CA,2010,0,0,123,426749.0
121868,CA,2010,0,0,87,306867.0
121886,CA,2010,0,1,1484,2833179.0
121901,CA,2010,0,1,1018,2146086.0
121983,CA,2010,1,0,6,9507.0
121992,CA,2010,0,0,165,391208.0
122180,CA,2010,0,1,1055,2493309.0
122205,CA,2010,0,1,1728,1187864.0
122296,CA,2010,1,0,0,
122339,CA,2010,0,1,907,3003641.0
122366,CA,2010,0,0,59,110188.0
122375,CA,2010,0,1,1404,2467165.0
122384,CA,2010,0,1,524,896647.0
122409,CA,2010,1,1,3031,4998462.0
122436,CA,2010,1,0,1149,924568.0
122454,CA,2010,1,0,73,139171.0
122506,CA,2010,1,0,41,62327.0
122597,CA,2010,1,1,3609,7480813.0
122612,CA,2010,1,0,1172,1950286.0
122658,CA,2010,0,1,1551,4066064.0
122685,CA,2010,0,0,312,1412232.0
122728,CA,2010,1,0,116,244962.0
122746,CA,2010,0,1,551,924877.0
122755,CA,2010,1,1,2697,5585025.0
122791,CA,2010,0,1,692,971610.0
122834,CA,2010,0,0,332,1554595.0
122852,CA,2010,0,0,83,365560.0
122889,CA,2010,0,1,1720,1868989.0
122931,CA,2010,1,0,1296,1120461.0
122977,CA,2010,0,1,3121,4807226.0
123013,CA,2010,0,1,1592,2008292.0
123165,CA,2010,1,0,262,236478.0
123217,CA,2010,0,1,1465,4120028.0
123280,CA,2010,1,0,10,24352.0
123299,CA,2010,0,1,830,1927313.0
123341,CA,2010,0,1,1899,2709135.0
123350,CA,2010,0,0,76,312772.0
123396,CA,2010,0,0,28,102450.0
123457,CA,2010,1,0,158,371864.0
123484,CA,2010,0,1,264,748610.0
123493,CA,2010,0,1,1593,3062499.0
123509,CA,2010,0,1,412,832298.0
123527,CA,2010,0,1,842,2238951.0
123554,CA,2010,1,0,695,1242095.0
123563,CA,2010,0,1,854,1147856.0
123572,CA,2010,1,1,1547,2373380.0
123633,CA,2010,1,0,0,
123642,CA,2010,0,0,39,128633.0
123651,CA,2010,1,0,334,733664.0
123679,CA,2010,0,0,828,2256355.0
123800,CA,2010,0,1,1441,3161858.0
123952,CA,2010,1,0,20,11200.0
123961,CA,2010,1,0,2972,2881490.0
124113,CA,2010,0,1,418,1031654.0
124292,CA,2010,1,0,87,140555.0
124487,CA,2010,1,0,20,59409.0
124681,CA,2010,0,0,13665,60004759.0
124706,CA,2010,0,0,872,2859383.0
124779,CA,2010,0,0,23,132150.0
124937,CA,2010,0,0,776,2492323.0
125028,CA,2010,0,1,1006,1843868.0
125082,CA,2010,0,0,109,352683.0
125091,CA,2010,0,1,996,2679580.0
125170,CA,2010,0,1,283,439157.0
125231,MN,2010,1,0,18,47058.0
125462,CA,2010,0,1,267,804935.0
125471,CA,2010,0,1,556,1398322.0
125499,CA,2010,0,1,903,977475.0
125532,CA,2010,0,0,1436,2930865.0
125727,CA,2010,1,0,385,462793.0
125763,CA,2010,1,0,453,856335.0
125897,CA,2010,1,0,102,190337.0
126076,CA,2010,1,0,54,189533.0
126119,CA,2010,0,1,648,1926732.0
126164,CO,2010,0,0,50,160325.0
126182,CO,2010,1,1,557,1581443.0
126207,CO,2010,0,1,341,770451.0
126289,CO,2010,0,1,452,1100933.0
126359,CO,2010,0,0,176,333590.0
126401,CO,2010,0,0,71,289303.0
126562,CO,2010,1,1,1023,1637892.0
126580,CO,2010,1,1,1117,1504160.0
126605,CO,2010,0,0,123,516303.0
126614,CO,2010,1,1,5144,5765413.0
126669,CO,2010,1,0,281,387547.0
126678,CO,2010,1,0,536,369384.0
126687,CO,2010,0,0,726,2308591.0
126702,CO,2010,1,0,180,368748.0
126711,CO,2010,0,1,362,700541.0
126748,CO,2010,0,1,158,328974.0
126775,CO,2010,1,1,875,784686.0
126784,CO,2010,0,0,77,129187.0
126818,CO,2010,1,1,4324,5305095.0
126827,CO,2010,1,0,165,324216.0
126863,CO,2010,0,1,494,1231521.0
126872,CO,2010,1,0,171,517641.0
126915,CO,2010,0,1,105,146688.0
126942,CO,2010,0,1,870,3236658.0
126951,CO,2010,0,0,636,2128255.0
127060,CO,2010,1,0,1216,1084489.0
127158,CO,2010,0,1,928,665281.0
